id,imie,nazwisko,zawod,ulica,kod,miasto,stawka
962,Aurelia,Wielgat,Redaktor techniczny,Waryńskiego 82/19,33-524,Zgierz,146
963,Kornelia,Fiedler,Kuk,Władysława Łokietka 748,56-072,Kraśnik,94
964,Bartek,Rudolf,Technik technologii drewna,Lelewela 960,41-425,Iława,116
965,Malwina,Kucharzyk,Ksiądz,Krucza 76/93,45-600,Piotrków Trybunalski,28
966,Bartek,Brojek,Makler nadzorujący,Sosnowa 85/74,03-163,Elbląg,73
967,Tymon,Koj,Robotnik,Waryńskiego 22/17,81-014,Poznań,26
968,Agnieszka,Budzich,Redaktor merytoryczny,Wiklinowa 64/78,41-886,Szczecinek,109
969,Leonard,Ośko,Tłumacz,Dąbrowskiego 38/02,52-212,Września,127
970,Dorota,Szajek,Technik budownictwa,Jana 81/17,61-793,Cieszyn,24
971,Aurelia,Cyba,Kawiarka,Kielecka 23,78-318,Ruda Śląska,129
972,Konstanty,Sanetra,Trener personalny,Konarskiego 057,27-908,Zielona Góra,28
973,Dominik,Sztuczka,Bankowiec,Daszyńskiego 24/57,85-095,Mikołów,56
974,Oliwier,Bulanda,Pokojówka,Kossaka 63,05-430,Wodzisław Śląski,68
975,Stanisław,Job,Rybak,Brzozowa 56/52,45-187,Gorzów Wielkopolski,102
976,Bruno,Lorenz,Naukowiec,Zakole 022,90-419,Nowa Sól,119
977,Norbert,Ubysz,Makler nadzorujący,Owocowa 16/25,14-945,Gdynia,108
978,Klara,Langa,Aktor dziecięcy,Wczasowa 45/57,63-222,Siemianowice Śląskie,76
979,Blanka,Łepek,Rzeczoznawca majątkowy,Brzoskwiniowa 35/49,37-668,Bolesławiec,39
980,Fabian,Skonieczka,Technik awionik,Toruńska 06,02-665,Piotrków Trybunalski,72
981,Kajetan,Fogt,Arborysta,Szewska 61/37,27-724,Słupsk,21
982,Daniel,Rurka,Pokojówka,Torowa 547,31-002,Gorlice,94
983,Krzysztof,Kiljan,Technik żywienia i gospodarstwa domowego,Kowalska 10,87-787,Pruszków,144
984,Szymon,Skubała,Technik awionik,Krucza 362,80-735,Radomsko,25
985,Natasza,Goral,Redaktor techniczny,Jagodowa 42/52,33-683,Brodnica,130
986,Sonia,Czapiga,Rekwizytor,Wiosenna 21,11-475,Będzin,33
987,Błażej,Melka,Kawiarka,Bema 71,22-943,Police,91
988,Urszula,Żymełka,Ratownik przedmedyczny,Kusocińskiego 02,61-228,Kołobrzeg,114
989,Marcin,Kościesza,Likwidator szkód,Mazurska 81/46,68-169,Kwidzyn,29
990,Sara,Ciuk,Polityk,Kościuszki 61/41,20-286,Skierniewice,103
991,Aleksander,Tabak,Pośrednik ubezpieczeniowy,Brzechwy 85/02,95-442,Oleśnica,79
992,Karol,Sztuba,Rzeczoznawca,Szeroka 19/61,67-062,Bielsko-Biała,114
993,Artur,Kordys,Rybak,Rubinowa 69,51-345,Kluczbork,25
994,Przemysław,Broszkiewicz,Pracownicy uczelni w Polsce,Nałkowskiej 34,44-002,Bochnia,134
995,Rafał,Kajstura,Kasjer biletowy,Długosza 924,88-001,Tychy,22
996,Bruno,Leszcz,Łącznik,Stolarska 84/59,09-059,Luboń,49
997,Damian,Kaja,Drwal,Wieniawskiego 82,43-854,Białogard,68
998,Dagmara,Juszczuk,Pakowacz,Powstańców Śląskich 482,18-122,Września,64
999,Filip,Plona,Nadleśniczy,Orla 44,92-317,Wągrowiec,71
